,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
799,GSM,334,3,9001,39302,0,-99.286181,19.360594,1388,55,1,1290096245,1479229986,0
802,GSM,334,3,9001,30063,0,-99.28783,19.360245000000003,1112,120,1,1290096932,1479229986,0
803,UMTS,334,3,9501,59050517,0,-99.288646,19.359382,1000,7,1,1290146250,1377202452,0
804,UMTS,334,3,9501,59050518,0,-99.289627,19.356537,1000,2,1,1290146251,1377202331,0
805,GSM,334,3,9001,2581,0,-99.287188,19.36036,8844,67,1,1290146957,1479229986,0
90124,GSM,334,3,28016,33131,0,-97.844925,22.224067,1000,7,1,1459692333,1490483026,0
90244,GSM,334,20,2541,9693,0,-102.05406188965,20.295181274414002,1000,1,1,1459772185,1459772185,0
206699,GSM,334,20,5951,11494,0,-98.199234008789,19.057846069335998,1000,1,1,1459776327,1459776327,0
206701,GSM,334,20,5951,36908,0,-98.206100463867,19.048233032227,1000,1,1,1459776322,1459776322,0
206721,GSM,334,50,20043,9233,0,-99.32121276855499,19.416275024414002,1000,1,1,1459810767,1459810767,0
296603,GSM,334,3,28016,33133,0,-97.84853000000001,22.218132,1000,8,1,1459692333,1488811964,0
296965,GSM,334,50,20043,1694,0,-99.328079223633,19.421768188477,1000,1,1,1459810767,1459810767,0
418742,GSM,334,20,5951,21097,0,-98.196487426758,19.061965942383,1000,3,1,1459814328,1482101987,0
418768,GSM,334,50,20048,7161,0,-99.326705932617,19.420394897460998,1000,1,1,1459810767,1459810767,0
636482,UMTS,334,20,11029,67484812,0,-96.721001,17.083569,1000,24,1,1337971059,1337971059,0
636483,UMTS,334,20,11029,67467978,0,-96.71745300293001,17.067947387695,1000,1,1,1337971961,1337971961,0
636484,UMTS,334,20,11029,67448595,0,-96.718826,17.063141,1000,6,1,1337972123,1337972123,0
636485,UMTS,334,20,11029,67469559,0,-96.71882629394501,17.062454223633,1000,5,1,1337972122,1337972122,0
636486,UMTS,334,20,11029,67458595,0,-96.719284,17.061539,1000,6,1,1337972198,1337972198,0
636487,UMTS,334,20,11029,67468800,0,-96.718876,17.066673,2153,166,1,1338264215,1382035095,0
636488,UMTS,334,20,11029,67449560,0,-96.7202,17.052841,1000,2,1,1338264215,1408433799,0
636489,UMTS,334,20,11029,67469560,0,-96.728135,17.038225,2352,140,1,1338264215,1408433799,0
636490,UMTS,334,20,11029,67461083,0,-96.72981300000001,17.016983,1000,9,1,1338244360,1338244360,0
636491,UMTS,334,20,11029,67481083,0,-96.736046,17.018046,1000,178,1,1338264219,1360110004,0
685462,UMTS,334,20,21004,131339073,0,-99.274458,19.507224,1000,22,1,1341585104,1341585104,0
685475,UMTS,334,20,21004,131349073,0,-99.27555100000001,19.506569,1000,8,1,1341605007,1362165851,0
685668,UMTS,334,20,11019,66832561,0,-103.717117,19.238876,1017,45,1,1341637539,1412275825,0
685669,UMTS,334,20,11019,66822561,0,-103.718436,19.236609,1000,76,1,1341637539,1412369000,0
685670,UMTS,334,20,11019,66822555,0,-103.71178,19.244121,3111,53,1,1341637539,1416326031,0
685671,UMTS,334,20,11019,66828694,0,-103.71925999999999,19.237911999999998,1000,50,1,1341637539,1412369017,0
685672,UMTS,334,20,11019,66827734,0,-103.723658,19.242007,1000,59,1,1341637539,1419346356,0
685673,UMTS,334,20,11019,66788694,0,-103.722368,19.237343,1000,34,1,1341637539,1419346026,0
685674,UMTS,334,20,11019,66822564,0,-103.72420100000001,19.244685999999998,1000,19,1,1341637539,1412164423,0
685675,UMTS,334,20,11019,66782564,0,-103.718491,19.244064,1000,5,1,1341637539,1412163863,0
686374,UMTS,334,20,11034,67811175,0,-100.45143127441,20.635757446289002,1000,1,1,1341787428,1341787428,0
686540,UMTS,334,20,11034,67791175,0,-100.45143127441,20.635757446289002,1000,8,1,1341796328,1341796328,0
689300,UMTS,334,20,31023,198126064,0,-103.43971252441,20.764846801758,1000,3,1,1341952720,1341952720,0
691128,GSM,334,20,7921,21628,0,-115.50819396973,32.660293579102,1000,1,1,1342056754,1342056754,0
693102,GSM,334,20,423,35506,0,-99.12149699999999,19.520449,1000,7,1,1342236393,1472682461,0
693235,UMTS,334,20,21002,131203704,0,-99.037113,19.28591,1000,56,1,1342271285,1407412056,0
693328,UMTS,334,20,21012,131883615,0,-99.648056030273,19.313278198242,1000,7,1,1342281463,1342376269,0
693508,GSM,334,20,4432,35774,0,-116.971029,32.42857,1160,3,1,1342290356,1506642396,0
693509,UMTS,334,20,11044,68461821,0,-116.982323,32.43272,1642,7,1,1342290356,1383569496,0
693510,UMTS,334,20,11044,68424138,0,-116.913252,32.409614000000005,5771,109,1,1342270770,1342270770,0
693605,UMTS,334,20,21012,131903615,0,-99.645309,19.316025,1000,3,1,1342318836,1371751103,0
693606,UMTS,334,20,21012,131909614,0,-99.647141,19.324265,1225,3,1,1342318836,1370893018,0
694323,UMTS,334,3,21501,137788335,0,-98.27751159668001,19.103164672852,1000,1,1,1342367275,1342367275,0
694387,UMTS,334,3,8501,52524552,0,-106.45389899999999,31.649427000000003,1000,22,1,1342411382,1482576404,0
694388,UMTS,334,3,8501,52524551,0,-106.453078,31.650821999999998,1000,94,1,1342411382,1482287285,0
695878,UMTS,334,20,21094,137291281,0,-92.11418151855499,16.216506958008,1000,4,1,1342464243,1342464243,0
695879,UMTS,334,20,21094,137276134,0,-92.11418151855499,16.216506958008,1000,2,1,1342464229,1342464229,0
696990,UMTS,334,20,11020,66881398,0,-103.28453063965,20.653610229492,1000,4,1,1341610414,1341610414,0
697269,UMTS,334,20,11073,70323710,0,-100.51597595215,28.696975708007997,1000,3,1,1341980702,1341980702,0
697270,UMTS,334,20,11073,70326876,0,-100.515633,28.696976,1000,12,1,1342093890,1342093890,0
697271,UMTS,334,20,11073,70336876,0,-100.51518100000001,28.696976,1000,19,1,1342093046,1342093046,0
697272,UMTS,334,20,11073,70333710,0,-100.515427,28.697433,1015,15,1,1342562250,1378032189,0
697273,UMTS,334,20,11073,70350654,0,-100.53094499999999,28.678435999999998,1000,20,1,1342562250,1376779917,0
697274,UMTS,334,20,11073,70343713,0,-100.536575,28.679671999999997,1389,5,1,1342562250,1377707324,0
697275,UMTS,334,20,11073,70370654,0,-100.537949,28.678513,1000,18,1,1341988265,1341988265,0
697276,UMTS,334,20,11073,70363713,0,-100.54555500000001,28.679122999999997,1000,13,1,1342562250,1375262543,0
697277,UMTS,334,20,11073,70373713,0,-100.549316,28.680878000000003,1000,36,1,1342562250,1367159403,0
697278,UMTS,334,20,11073,70323715,0,-100.547974,28.674865999999998,1000,10,1,1341991777,1341991777,0
697279,UMTS,334,20,11073,70373715,0,-100.55578100000001,28.691921999999998,3945,191,1,1341990498,1341990498,0
697280,UMTS,334,20,11073,70326856,0,-100.569992,28.675919,1000,3,1,1341988809,1341988809,0
697281,UMTS,334,20,11073,70323708,0,-100.53089399999999,28.697234,2959,181,1,1341991769,1341991769,0
697282,UMTS,334,20,11073,70321340,0,-100.526849,28.684894,5075,84,1,1342562276,1366596487,0
697283,UMTS,334,20,11073,70366877,0,-100.57914733886999,28.206710815429997,1000,13,1,1342285280,1342285280,0
697284,UMTS,334,20,11073,70346877,0,-100.57914733886999,28.206710815429997,1000,8,1,1342250100,1342250100,0
697285,UMTS,334,20,11073,70334862,0,-100.57914733886999,28.206710815429997,1000,8,1,1342286685,1342286685,0
697286,UMTS,334,20,11073,70324862,0,-100.57914733886999,28.206710815429997,1000,7,1,1342459762,1342459762,0
697287,UMTS,334,20,11073,70368173,0,-100.57914733886999,28.206710815429997,1000,1,1,1342230752,1342230752,0
697288,GSM,334,20,1327,26749,0,-100.603635,28.209239,12080,6,1,1342562281,1467870850,0
697458,UMTS,334,20,11079,70729110,0,-115.4093170166,32.568283081055,1000,2,1,1342560259,1342560259,0
699041,UMTS,334,20,21016,132171391,0,-100.22525300000001,25.750364,3687,73,1,1342656580,1372398458,0
701991,GSM,334,20,5031,11478,0,-110.937881,29.048538,1000,16,1,1342826932,1416055945,0
701995,GSM,334,3,30001,32561,0,-96.811464,19.488718,12415,48,1,1342830040,1479751078,0
702002,GSM,334,20,4034,22780,0,-103.39027404785,25.526046752929997,1000,4,1,1342813008,1342813008,0
702003,GSM,334,20,4034,12793,0,-103.39027404785,25.526046752929997,1000,2,1,1342813018,1342813018,0
702152,UMTS,334,50,1012,3994636,0,-100.921782,22.157365,2313,2,1,1342849238,1446290119,0
702159,GSM,334,20,5033,32689,0,-111.023026,29.120407,1217,3,1,1342850426,1481929853,0
702536,UMTS,334,50,1033,5903173,0,-99.054794,19.56665,1000,8,1,1342928170,1372638191,0
702695,UMTS,334,50,1028,5334920,0,-92.253599,14.894962,3856,25,1,1342980992,1435862372,0
703723,UMTS,334,20,11000,65577051,0,-99.056167602539,18.887557983398,1000,2,1,1343029511,1343029511,0
703738,UMTS,334,20,11020,66879716,0,-103.281784,20.691719,1000,4,1,1343069515,1375590995,0
705030,UMTS,334,20,21010,131757530,0,-99.098739624023,19.368209838867,1000,1,1,1343132964,1343132964,0
705031,UMTS,334,20,21010,131777530,0,-99.098739624023,19.368209838867,1000,1,1,1343133006,1343133006,0
